Time	Throughput
1392	53713
1393	67392
1394	37520
1395	38179
1398	28975
1399	48895
1400	56765
1401	80729
1402	94136
1403	67411
1404	64800
1405	70931
1407	70431
1408	38365
1409	41687
1410	6079
1411	3176
1412	15020
1413	15979
1414	8352
1416	12506
1417	14466
1418	16646
1419	15131
1420	35933
1421	49396
1422	42066
1423	20306
1425	10057
1427	15849
1428	16040
1429	15596
1430	15404
1431	14807
1432	14457
1433	16382
1434	15711
1435	15864
1439	3510
1440	15922
1441	14989
1442	15693
1443	14136
1444	14778
1446	15127
1447	16680
1448	14385
1449	15738
1451	8042
1453	14432
1454	11160
1455	17124
1457	21302
1458	50229
1459	48674
1460	39692
1461	57588
1462	30558
1463	37573
1464	45128
1467	3907
1468	26583
1469	70809
1470	42158
1471	67981
1472	61756
1473	67176
1474	61536
1476	51413
1477	35262
1479	37587
1481	34849
1482	38345
1483	41507
1485	59056
1486	44088
1487	40184
1488	37464
1489	40346
1490	53280
1491	38248
1492	40381
1493	1007
1494	10441
1496	35205
1497	40237
1498	39414
1499	43662
1500	43171
1501	41480
1502	36521
1503	43928
1504	42343
1507	38459
1508	38459
1509	22693
1510	26833
1511	27671
1512	36967
1513	28782
1515	32206
1516	40519
1517	30154
1518	49858
1519	41943
1520	36783
1521	2200
1522	6891
1523	15527
1525	26755
1526	36832
1527	38763
1528	37297
1529	30213
1530	32546
1531	26918
1532	37337
1533	30220
1535	17189
1537	17537
1538	30302
1539	40162
1540	41867
1541	23449
1542	38067
1543	23849
1545	18920
1546	18078
1548	9224
1549	1790
1559	1907
1560	1966
1565	1233
1566	1376
1567	2088
1568	3805
1569	2654
1571	1178
1577	1020
1578	1544
1583	1766
1587	2265
1588	1189
1607	30445
1608	31222
1609	31220
1610	30126
1611	31585
1612	29140
1613	27309
1614	27196
1616	166842
1618	131962
1620	17354
1621	181850
1622	235690
1623	226146
1624	208426
1625	216540
1626	196131
1627	206923
1629	165952
1630	181854
1632	55367
1634	200952
1635	230398
1636	215276
1637	196150
1638	204424
1640	213530
1641	212106
1642	214812
1643	212630
1644	202395
1646	21537
1647	5047
1648	128098
1649	241716
1650	263811
1651	217165
1653	170196
1654	186909
1655	178412
1656	163115
1657	152861
1658	165210
1659	116756
1661	47462
1663	224512
1664	222637
1665	240491
1666	172496
1667	166084
1668	174984
1669	176408
1670	178673
1671	185736
1672	174582
1674	62328
1676	211231
1677	222617
1678	180783
1679	180441
1680	192202
1681	195201
1682	188407
1683	186622
1685	203935
1686	177714
1687	182660
1689	11851
1690	136808
1691	289813
1692	192556
1693	213145
1694	247637
1695	229045
1696	204035
1698	155761
1699	114934
1701	61104
1703	32740
1704	61754
1705	67672
1707	76213
