Time	Throughput
12	8183
13	17765
15	56367
16	111665
17	108687
18	108466
19	105553
21	84461
22	68214
23	72586
24	57117
26	16533
28	22433
29	21357
30	20815
31	21725
32	20543
34	21326
35	21238
36	21265
38	4167
39	4167
41	20679
42	21212
43	21762
44	21935
45	22945
47	22874
48	20948
49	19121
50	22289
51	21667
54	6060
55	15471
56	15469
57	16515
58	17305
60	14380
61	16803
62	11362
63	16010
64	16733
65	13214
68	10156
69	21749
70	22890
71	21894
73	100073
74	132717
75	131584
76	140030
77	129080
78	88489
80	105914
82	17499
83	22342
84	22445
85	20815
87	19469
88	19716
89	21282
90	17803
91	21540
92	20337
93	11361
96	11495
97	21629
98	19706
99	20407
100	16531
102	18909
103	18839
104	20115
105	19611
106	18448
107	10366
108	10366
110	16423
111	20383
112	19590
113	19456
115	20056
116	21148
117	20119
118	22357
119	19494
123	2388
124	15960
125	20383
126	19099
127	18341
129	19022
130	19020
131	19880
132	17623
133	20155
135	19034
137	6728
138	18622
139	19674
140	18346
142	19449
143	19437
144	19124
145	19987
146	18600
147	73663
149	119882
151	9744
152	20440
153	21166
154	21003
156	19670
157	21319
158	20035
159	19329
160	18964
161	20665
162	17141
165	10682
166	23512
167	20814
168	19238
169	35366
171	58321
172	60946
173	65288
174	67692
175	69977
176	46923
179	11192
180	16485
181	13856
182	15101
184	15671
185	13884
186	44359
187	55541
188	57633
189	62194
190	56496
193	13163
194	18792
195	19452
196	19043
197	18509
199	19052
200	18180
201	18873
202	18630
203	17802
204	6984
207	17989
208	21644
209	21371
210	25803
211	123056
213	145263
214	142149
215	133394
216	125923
217	119638
218	52960
219	52960
221	17678
222	18426
223	21241
224	20554
226	19973
227	119143
228	175936
229	151240
230	121454
231	117744
234	4177
235	19225
236	19097
237	87129
239	109441
240	176991
241	129623
242	186636
243	268684
244	225826
245	180123
247	3994
248	5041
249	17674
250	16078
251	18428
252	17849
254	17162
255	21525
256	65556
257	64731
258	64981
260	59083
262	9720
263	18033
264	18085
265	43823
267	98998
268	98222
269	98138
270	118931
271	174975
272	240304
273	186818
275	11273
276	13161
277	19335
278	18380
279	16472
281	17329
282	19424
283	85660
284	160816
285	156885
286	199592
287	132392
290	13423
291	17767
292	16040
293	17641
294	18019
296	16893
297	17303
298	27432
299	66659
300	64873
302	25834
305	16133
306	161373
307	184801
308	203450
310	210214
311	249795
312	255681
313	222891
315	103216
317	16639
319	21392
320	21605
321	21606
322	21472
323	58538
325	140480
326	171574
327	275316
329	130657
331	13776
332	42384
334	63353
335	62106
336	110566
337	165854
338	213566
339	261778
341	276262
343	143691
345	14811
346	41595
347	157599
349	188414
350	206650
351	247309
352	186933
353	77315
354	88819
357	61181
358	4230
359	35542
360	134880
362	196946
363	198934
364	249814
365	162103
366	183834
367	194621
368	158626
371	112580
372	112580
373	183595
374	219010
375	244449
377	241529
378	231018
379	224563
380	201081
381	266042
382	206348
383	274732
384	151586
387	15660
388	18424
389	17782
390	19298
391	19204
393	17938
394	20227
395	19856
396	18358
399	9907
400	9685
401	17080
402	17905
403	17795
404	17168
406	18165
407	17180
408	35488
409	119601
410	121434
411	121434
412	138642
414	11308
415	51787
416	113859
417	107040
419	118162
420	109960
421	108244
422	107952
423	102647
424	110234
426	81441
428	13715
429	103402
430	108229
431	181011
433	168196
434	183866
435	142088
436	162783
437	129217
438	168135
440	129269
441	5683
442	14467
443	17325
444	17813
446	17266
447	17543
448	16170
449	16774
450	17428
451	17383
454	4792
455	4792
456	16404
457	17384
459	15594
460	18166
461	16946
462	17589
463	28712
464	65101
466	62820
467	69348
468	2877
469	4824
470	18043
471	17449
473	19171
474	19239
475	18873
476	18209
477	17755
479	18187
480	19071
481	16392
483	7544
484	16701
486	17257
487	15561
488	16559
489	17268
490	16594
492	16652
493	16712
495	11462
497	16293
499	21741
500	23415
501	21989
502	19893
503	21206
504	18708
506	19576
507	19533
509	12716
510	12716
512	17618
513	16249
514	16035
515	16742
516	16342
518	16662
519	16931
520	16390
521	16452
525	3940
526	16216
527	17035
528	16503
529	16017
530	16388
532	17204
533	17402
534	16856
535	17045
538	9036
540	68027
541	79397
542	65886
543	64254
544	82213
546	83431
547	102634
548	89416
549	109171
550	100483
551	5212
552	5212
553	12025
554	18567
555	18262
556	17609
557	18387
558	77846
560	77740
561	74165
562	54268
563	85176
564	80785
567	14339
568	16835
569	28136
570	73648
571	78639
572	39194
574	74776
575	83759
576	91953
577	91078
578	51573
579	51573
580	3461
581	16772
582	36766
583	82748
584	76331
585	71863
587	57146
588	68033
589	71384
590	73323
592	64701
593	64701
595	39803
596	60054
597	43158
598	42083
599	46575
601	63094
602	61471
603	77108
604	63769
606	47836
607	47836
608	2559
609	23459
610	54368
611	50348
612	59244
613	48972
615	79967
616	70971
617	74030
618	82556
620	5356
621	5356
622	3503
623	17590
624	38777
625	48791
626	54173
627	52703
629	57336
630	60280
631	61382
632	51111
