Time	Throughput
10	6198
12	3376
13	5206
15	14607
16	11938
17	14205
18	15122
19	21587
20	15154
22	14103
23	16752
24	14651
27	3728
29	18772
30	12262
31	15545
32	13408
33	9378
34	11188
36	10195
37	8880
38	6256
39	8816
41	3870
43	6904
44	4205
45	2020
46	2783
47	8134
49	10238
50	8266
51	9292
52	6881
53	6501
56	8223
57	9940
58	4951
59	4227
60	11614
62	8904
63	8348
64	16074
65	15494
66	8108
67	4980
70	13650
71	10094
72	8622
73	6659
74	8815
76	9798
77	8537
78	6173
79	4342
81	4107
82	4107
84	7366
85	9771
86	10349
87	11095
88	14690
90	11519
91	11443
92	9761
93	13255
94	13255
96	1995
97	2883
98	8038
99	15994
100	17259
101	16612
103	17452
104	17310
105	17330
106	15476
107	8723
108	3212
111	4036
112	17631
113	16624
114	10693
115	7846
117	5912
118	3592
119	4320
120	2367
121	3879
123	5766
125	10312
126	22079
127	16346
128	5705
130	3716
131	3656
132	3500
133	5091
134	10807
137	7434
139	8898
140	3720
141	7997
143	7473
144	12762
145	13441
146	15083
147	5363
149	5697
151	3546
152	1097
153	14772
154	12186
156	10567
157	11272
158	17452
159	17241
160	10051
161	11414
163	6099
167	7935
169	5238
170	4503
171	6482
172	8419
174	8174
175	8829
176	8825
177	8804
178	7120
181	5764
182	1782
183	16170
184	7153
185	9172
186	8271
187	8271
188	4264
189	5389
190	4052
191	5989
192	6982
195	9170
196	8194
197	5962
198	6919
199	6998
201	5281
202	6504
203	7395
204	7885
205	7307
206	5141
209	9565
210	8300
211	8712
212	11522
214	9777
215	10868
216	11120
217	9172
218	9143
219	13852
220	3168
221	3168
223	3044
224	6145
225	5440
226	5539
228	9578
229	6909
230	2509
231	5079
232	5580
234	5471
236	2929
237	6919
238	8554
239	8930
240	7706
242	5959
243	10152
244	9136
245	7549
246	6890
248	7623
250	6307
251	14202
252	12072
253	12404
255	10689
256	9759
257	3777
258	9386
259	13738
261	14358
262	4822
264	14332
265	13205
266	11947
268	19854
269	15379
270	13858
271	13062
272	11658
274	15108
276	5427
277	5427
278	12826
279	9948
281	8838
282	9839
283	6503
284	7221
285	8935
287	9337
288	4865
291	3041
293	10587
294	7889
295	7567
296	7279
297	7609
298	9331
300	8188
301	8729
302	9834
303	5410
304	4206
305	4206
306	12970
307	15445
308	21340
309	29501
310	26287
311	8695
313	4771
314	7849
315	8676
316	13641
317	9163
320	15944
321	11199
322	8436
323	11383
325	12704
326	19706
327	16970
328	10330
329	11626
330	11898
334	12257
335	10290
336	15207
337	12147
339	14864
340	13757
341	13646
342	10979
343	14157
345	21012
347	4578
348	14926
349	18630
350	16309
352	23107
353	26453
354	22352
355	6106
356	9640
359	12223
361	7913
362	6634
363	9034
365	11955
366	10581
367	8087
368	10804
369	12054
371	13643
372	9139
373	5758
374	5758
375	16208
377	15421
378	9383
379	9962
380	9214
381	7516
382	8919
384	5672
385	7882
388	2000
390	5959
391	4290
392	6992
393	8765
394	7404
395	9386
397	8807
398	5254
399	9029
400	8348
403	6200
404	11112
405	17257
406	9559
407	15834
409	13982
410	14144
411	11780
412	13347
413	6918
414	4923
417	11691
418	12663
419	11499
420	9611
422	4312
423	3761
424	3986
425	7996
426	4617
427	6396
429	2371
431	9294
432	14648
433	15556
434	12320
436	14038
437	14032
438	11548
439	11914
440	8907
442	8899
444	4264
445	13799
446	6306
448	5075
449	7568
450	6866
451	8445
452	10825
453	9378
456	7923
458	10260
459	9486
461	8745
462	10415
463	8229
464	9716
465	9150
466	12255
468	5054
470	4033
472	10055
473	10397
475	13503
476	14809
477	13904
478	6324
479	11159
481	14789
482	7023
484	1116
485	1706
487	15981
488	9176
489	7389
490	8329
491	10341
492	11925
494	10105
495	8952
496	9873
500	2240
501	9265
502	8848
503	10883
504	8549
505	7276
507	10582
508	16483
509	8807
510	9883
511	7440
514	9876
515	5861
516	7184
517	5906
518	10037
520	8077
521	6823
522	8814
523	9451
524	9066
526	3247
527	3247
528	14944
529	13020
530	5694
532	8399
533	11244
534	13287
535	10407
536	7890
537	11533
539	14777
541	6146
542	14635
543	11019
544	5749
546	9552
547	9988
548	9304
549	14586
550	9794
553	6905
555	3407
556	7184
557	3394
559	7274
560	3816
561	6168
562	8236
563	5021
565	7561
567	7961
569	4433
570	2498
572	8645
573	9243
574	10475
575	8406
576	4813
578	6419
579	5621
581	3806
582	3806
584	10837
585	8733
586	9514
587	10710
588	8050
589	10897
591	14493
592	7669
593	11691
596	3646
598	21123
599	21751
600	10324
601	11145
602	10007
603	4189
605	7508
606	8449
607	13514
608	11190
611	5712
612	9084
613	7260
614	9551
615	8747
616	15234
618	18486
619	9728
620	8875
621	10622
622	11070
625	8829
626	11480
627	10336
628	7977
629	10820
631	9562
632	8446
633	5824
634	7642
635	7975
637	2997
639	15716
640	10076
641	5994
642	2853
644	7963
645	9071
646	13553
647	14313
