Time	Throughput
15	178035
16	190264
17	79010
20	21940
21	22254
22	40424
23	153318
24	159331
25	157899
26	162756
27	163776
29	279678
31	222253
33	6997
34	29871
35	31879
36	31015
37	159040
39	202205
40	203437
41	211206
42	211928
43	221852
45	67874
47	24320
49	23853
50	23720
51	23809
52	24167
53	24070
54	24169
55	25306
57	24158
59	14472
61	13003
62	18164
63	19216
65	19411
66	20959
67	20041
68	20272
69	19590
70	19688
71	19764
72	17822
75	11375
76	23488
77	23311
78	22777
79	43375
80	201641
81	187045
82	249825
84	184298
85	217767
87	76668
89	75742
90	200481
91	240129
92	207151
93	176410
94	220823
96	185093
97	181087
98	242904
99	192304
101	18710
102	1659
103	69159
104	95710
105	127324
106	205049
108	239899
109	199522
110	198034
111	223592
112	205168
113	196022
114	158842
116	5720
117	16634
119	24371
120	102998
121	138310
122	136903
123	130888
124	136678
125	135461
126	141124
127	128640
129	33392
130	332
131	40358
132	94218
133	164064
134	220637
135	146887
136	238993
137	189829
139	177026
140	202205
141	225289
142	175128
144	7602
145	28822
146	29825
147	135517
148	245180
149	222824
150	217517
151	228286
152	184372
154	247854
156	166518
158	8680
159	19635
160	19815
161	33258
162	125987
164	194558
165	203981
166	198330
167	228337
168	159083
170	43967
172	18568
173	20114
175	19847
176	19972
177	20097
178	19289
179	18770
180	19959
181	19418
184	48696
186	48879
187	89494
188	196196
189	225998
190	162357
191	152976
193	98423
194	133248
195	161150
196	143420
198	6615
199	3796
200	37196
201	43201
203	33109
204	56985
205	61606
206	66879
207	71811
208	75745
209	75754
210	59636
212	48338
214	15373
215	33920
216	36561
217	59887
218	70320
219	61277
220	71525
222	74901
223	40669
224	44096
225	55666
226	11774
227	12302
228	46570
229	60963
230	57620
232	54677
233	71928
234	66695
235	66251
236	86462
237	55914
238	85887
239	38639
242	15478
243	15519
244	17193
245	29022
246	55587
247	28581
248	32992
249	26889
251	17151
253	33157
255	5991
256	13035
257	13176
258	15011
259	24101
261	32033
262	44231
263	35101
264	36187
265	30462
267	18587
268	18587
270	10398
271	14760
272	16964
273	36364
274	36515
275	41591
276	56566
277	52747
278	33809
279	39961
281	26619
283	5854
284	26180
285	48367
286	41735
287	37277
288	50572
289	58820
291	28607
292	46997
293	49389
295	39552
296	113
297	1114
298	4658
300	7709
301	10187
302	9375
303	13974
304	17750
305	23591
306	28874
307	6519
309	8193
311	9668
312	14613
313	17703
314	16208
315	17974
316	17692
317	31920
319	63268
320	70081
321	84951
323	19007
324	2293
325	17432
326	36959
327	50973
329	4136
330	19877
331	70689
332	50554
333	53811
334	58658
335	35790
336	37882
339	7652
340	16952
341	18520
342	18223
343	17454
344	18269
345	17206
346	17862
347	17265
349	16615
351	1904
352	1901
353	17575
354	17305
355	17105
356	17699
357	17773
359	16883
360	15844
361	16963
362	17455
363	17530
364	8897
366	8502
367	14775
369	15538
370	15176
371	14785
372	17362
373	17084
374	16801
375	16609
376	17004
377	16913
379	1192
380	4399
381	14684
382	15166
383	10939
384	9576
385	14702
386	15729
388	14801
389	14918
390	17773
392	26365
394	14631
395	19997
396	17931
398	17740
399	17658
400	18418
401	16248
402	17982
403	19307
404	18439
405	15237
408	4259
409	12524
410	16334
411	14660
412	17434
413	42150
414	70064
415	53463
416	51425
418	51379
420	42964
422	13078
423	34808
424	42630
425	54307
426	49911
428	49072
429	65954
430	47257
431	54413
432	52538
434	28208
435	3799
437	14661
438	43543
439	37066
440	43890
441	59552
442	45456
443	43095
444	55706
445	64443
448	52777
450	25765
451	38353
452	50255
453	55433
454	52401
455	48941
457	52028
458	53310
459	47094
460	41513
461	61960
462	5640
463	5323
464	15057
466	15163
467	11735
468	11926
469	14120
470	14087
471	14934
472	10400
473	10642
474	11938
476	5387
478	12480
479	13920
480	10285
481	11128
482	13068
483	25998
484	30579
486	50653
487	36383
488	36667
489	32244
490	6650
491	6326
492	22736
493	18268
494	25066
496	32269
497	26700
498	31226
499	32381
500	29883
501	39211
503	13623
504	13623
506	16897
507	28576
508	40392
509	42713
510	44906
511	33066
512	30080
513	23952
515	11263
517	20820
519	2675
520	6184
521	221
525	200
527	176
528	33
529	77
530	33
533	101
535	79
536	178
537	111
538	33
539	67
541	33
542	78
543	592
544	313
546	178
552	89
553	78
554	33
555	33
556	67
560	67
564	56
570	67
571	212
572	167
573	145
574	45
579	78
580	67
581	44
582	33
588	312
596	7207
597	56278
598	140267
599	61664
601	142654
602	116486
603	127791
604	90646
605	114474
606	82433
607	47085
608	47085
610	28718
611	54392
612	68522
613	103965
614	93039
615	77133
616	64400
617	92898
618	102910
621	66115
623	26732
624	82529
625	73488
626	67048
627	67854
628	59416
630	60788
631	82045
632	40375
633	48435
635	16723
636	2731
637	31131
639	39259
640	31150
