Time	Throughput
13	4196
15	5252
16	6198
18	3376
19	5206
21	14607
22	11938
23	14205
24	15122
25	21587
26	15154
28	14103
29	16752
30	14651
33	3728
35	18772
36	12262
37	15545
38	13408
39	9378
40	11188
42	10195
43	8880
44	6256
45	8816
47	3870
49	6904
50	4205
51	2020
52	2783
53	8134
55	10238
56	8266
57	9292
58	6881
59	6501
62	8223
63	9940
64	4951
65	4227
66	11614
68	8904
69	8348
70	16074
71	15494
72	8108
73	4980
76	13650
77	10094
78	8622
79	6659
80	8815
82	9798
83	8537
84	6173
85	4342
87	4107
88	4107
90	7366
91	9771
92	10349
93	11095
94	14690
96	11519
97	11443
98	9761
99	13255
100	13255
102	1995
103	2883
104	8038
105	15994
106	17259
107	16612
109	17452
110	17310
111	17330
112	15476
113	8723
114	3212
116	122
117	4036
118	17631
119	16624
120	10693
121	7846
123	5912
124	3592
125	4320
126	2367
127	3879
129	5766
131	10312
132	22079
133	16346
134	5705
136	3716
137	3656
138	3500
139	5091
140	10807
143	7434
145	8898
146	3720
147	7997
149	7473
150	12762
151	13441
152	15083
153	5363
155	5697
157	3546
158	1097
159	14772
160	12186
162	10567
163	11272
164	17452
165	17241
166	10051
167	11414
169	6099
172	113
173	7935
175	5238
176	4503
177	6482
178	8419
180	8174
181	8829
182	8825
183	8804
184	7120
187	5764
188	1782
189	16170
190	7153
191	9172
192	8271
193	8271
194	4264
195	5389
196	4052
197	5989
198	6982
201	9170
202	8194
203	5962
204	6919
205	6998
207	5281
208	6504
209	7395
210	7885
211	7307
212	5141
215	9565
216	8300
217	8712
218	11522
220	9777
221	10868
222	11120
223	9172
224	9143
225	13852
226	3168
227	3168
229	3044
230	6145
231	5440
232	5539
234	9578
235	6909
236	2509
237	5079
238	5580
240	5471
241	584
242	2929
243	6919
244	8554
245	8930
246	7706
248	5959
249	10152
250	9136
251	7549
252	6890
254	7623
256	6307
257	14202
258	12072
259	12404
261	10689
262	9759
263	3777
264	9386
265	13738
267	14358
268	4822
270	14332
271	13205
272	11947
274	19854
275	15379
276	13858
277	13062
278	11658
280	15108
282	5427
283	5427
284	12826
285	9948
287	8838
288	9839
289	6503
290	7221
291	8935
293	9337
294	4865
296	616
297	3041
299	10587
300	7889
301	7567
302	7279
303	7609
304	9331
306	8188
307	8729
308	9834
309	5410
310	4206
311	4206
312	12970
313	15445
314	21340
315	29501
316	26287
317	8695
319	4771
320	7849
321	8676
322	13641
323	9163
326	15944
327	11199
328	8436
329	11383
331	12704
332	19706
333	16970
334	10330
335	11626
336	11898
338	820
339	901
340	12257
341	10290
342	15207
343	12147
345	14864
346	13757
347	13646
348	10979
349	14157
351	21012
352	155
353	4578
354	14926
355	18630
356	16309
358	23107
359	26453
360	22352
361	6106
362	9640
365	12223
367	7913
368	6634
369	9034
371	11955
372	10581
373	8087
374	10804
375	12054
377	13643
378	9139
379	5758
380	5758
381	16208
383	15421
384	9383
385	9962
386	9214
387	7516
388	8919
390	5672
391	7882
393	340
394	2000
396	5959
397	4290
398	6992
399	8765
400	7404
401	9386
403	8807
404	5254
405	9029
406	8348
407	306
408	306
409	6200
410	11112
411	17257
412	9559
413	15834
415	13982
416	14144
417	11780
418	13347
419	6918
420	4923
423	11691
424	12663
425	11499
426	9611
428	4312
429	3761
430	3986
431	7996
432	4617
433	6396
435	2371
436	332
437	9294
438	14648
439	15556
440	12320
442	14038
443	14032
444	11548
445	11914
446	8907
448	8899
449	330
450	4264
451	13799
452	6306
454	5075
455	7568
456	6866
457	8445
458	10825
459	9378
462	7923
464	10260
465	9486
467	8745
468	10415
469	8229
470	9716
471	9150
472	12255
474	5054
476	4033
478	10055
479	10397
481	13503
482	14809
483	13904
484	6324
485	11159
487	14789
488	7023
490	1116
491	1706
493	15981
494	9176
495	7389
496	8329
497	10341
498	11925
500	10105
501	8952
502	9873
504	33
505	33
506	2240
507	9265
508	8848
509	10883
510	8549
511	7276
513	10582
514	16483
515	8807
516	9883
517	7440
520	9876
521	5861
522	7184
523	5906
524	10037
526	8077
527	6823
528	8814
529	9451
530	9066
532	3247
533	3247
534	14944
535	13020
536	5694
538	8399
539	11244
540	13287
541	10407
542	7890
543	11533
545	14777
547	6146
548	14635
549	11019
550	5749
552	9552
553	9988
554	9304
555	14586
556	9794
559	6905
561	3407
562	7184
563	3394
565	7274
566	3816
567	6168
568	8236
569	5021
571	7561
573	7961
574	78
575	4433
576	2498
578	8645
579	9243
580	10475
581	8406
582	4813
584	6419
585	5621
587	3806
588	3806
590	10837
591	8733
592	9514
593	10710
594	8050
595	10897
597	14493
598	7669
599	11691
601	612
602	3646
604	21123
605	21751
606	10324
607	11145
608	10007
609	4189
611	7508
612	8449
613	13514
614	11190
617	5712
618	9084
619	7260
